Risk factor,Mean,LL,UL,Logmean,logLL,logUL,logSD
Stroke,3.61,3.44,3.78,1.283707772,1.235471471,1.32972401,0.024044015
TIA,2.34,2.18,2.51,0.850150929,0.779324877,0.920282753,0.035958642
SE,3.01,2.59,3.49,1.101940079,0.951657876,1.249901736,0.076082617
ICH,1.82,1.62,2.04,0.598836501,0.482426149,0.712949808,0.058807056
Bleed,1.36,1.26,1.46,0.3074847,0.231111721,0.378436436,0.037582835
MI,1.29,1.22,1.36,0.254642218,0.198850859,0.3074847,0.027712715
