Risk factor,Mean,LL,UL,Logmean,logLL,logUL,logSD
Stroke,1.64,1.39,1.94,0.494696242,0.329303747,0.662687973,0.085046996
TIA,1.55,1.2,2,0.438254931,0.182321557,0.693147181,0.130312659
SE,1.64,0.9,2.97,0.494696242,-0.105360516,1.088561953,0.304572058
ICH,10.2,8.59,12.2,2.32238772,2.150598736,2.501435952,0.08949929
Bleed,3.54,3.02,4.17,1.264126727,1.105256831,1.427916036,0.082311022
MI,0.94,0.78,1.12,-0.061875404,-0.248461359,0.113328685,0.092293379
