"","MI","Ischemic stroke","Death (all causes)","Transient ischemic attack (TIA)","Clinically relevant bleeding","SE","ICH"
"1",1,2.074,1.506,1.953,0.4156,2.44,0.4156
"2",1,2.105,1.574,0.638,0.5183,2.381,0.5183
"3",1,2.067,1.543,0.7549,0.3177,2.251,0.3177
"4",1,2.185,1.363,1.943,0.5288,1.679,0.5288
"5",1,2.044,1.226,1.759,0.4475,2.345,0.4475
"6",1,1.895,1.173,0.3152,0.3887,0.9896,0.3887
"7",1,2.312,1.447,1.306,0.3437,3.632,0.3437
"8",1,2.215,1.251,0.4846,0.347,4.667,0.347
"9",1,2.221,1.057,0.9329,0.6692,3.768,0.6692
"10",1,2.38,1.055,1.109,0.4121,1.545,0.4121
"11",1,2.39,1.238,5.853,0.5511,1.882,0.5511
"12",1,2.138,1.225,1.372,0.5168,7.122,0.5168
"13",1,2.075,1.078,0.566,0.4148,1.654,0.4148
"14",1,2.059,1.263,0.3959,0.5081,2.54,0.5081
"15",1,1.973,1.098,0.6689,0.5055,1.911,0.5055
"16",1,2.083,1.244,0.477,0.5941,2.041,0.5941
"17",1,1.912,1.384,0.3541,0.2396,2.821,0.2396
"18",1,2.343,1.331,0.7464,0.9856,2.043,0.9856
"19",1,2.052,2.461,0.9874,0.6164,1.885,0.6164
"20",1,2.127,2.418,0.7178,0.4746,7.904,0.4746
"21",1,2.281,1.659,0.2405,0.5119,3.701,0.5119
"22",1,2.433,1.373,0.553,0.6226,18.45,0.6226
"23",1,2.025,1.769,0.6614,0.5097,0.03008,0.5097
"24",1,2.693,1.048,1.681,0.4839,1.478,0.4839
"25",1,2.288,1.693,0.6556,0.553,1.532,0.553
"26",1,2.739,2.136,0.7001,0.4527,0.5345,0.4527
"27",1,2.617,10.26,0.5861,0.5338,25.76,0.5338
"28",1,2.499,13.81,0.04095,0.6033,9.65,0.6033
"29",1,2.389,0.07741,1.401,0.4819,7.039,0.4819
"30",1,2.279,1.989,0.3389,0.415,9.182,0.415
"31",1,2.276,2.31,0.2286,0.3489,1.087,0.3489
"32",1,2.151,0.7113,4.082,0.3237,1.393,0.3237
"33",1,2.029,0.1391,0.8839,0.3538,1.679,0.3538
"34",1,2.32,0.6128,1.314,0.3328,0.7851,0.3328
"35",1,2.672,0.8155,1.593,0.3628,1.595,0.3628
"36",1,1.787,1.184,1.59,0.2565,2.893,0.2565
"37",1,2.893,1.148,3.26,0.4677,5.07,0.4677
"38",1,2.595,1.393,2.123,0.3779,3.532,0.3779
"39",1,2.301,0.4981,1.081,0.6122,2.201,0.6122
"40",1,2.456,0.5193,1.317,0.1633,1.751,0.1633
"41",1,2.229,3.353,1.552,0.3996,1.286,0.3996
"42",1,2.306,4.777,1.996,0.4313,1.487,0.4313
"43",1,2.132,2.993,1.643,0.5724,1.383,0.5724
"44",1,2.089,1.745,1.477,0.3929,0.949,0.3929
"45",1,2.53,1.898,0.8351,0.6966,10.67,0.6966
"46",1,2.392,2.36,3.316,0.5877,17,0.5877
"47",1,2.346,2.533,2.148,0.6934,0.9527,0.6934
"48",1,2.334,1.93,1.95,0.5154,1.689,0.5154
"49",1,2.378,1.829,2.346,0.4132,1.443,0.4132
"50",1,2.381,2.137,2.292,0.5045,1.742,0.5045
"51",1,2.632,1.894,3.441,0.5124,1.83,0.5124
"52",1,2.498,1.954,2.176,0.4398,4.924,0.4398
"53",1,2.499,1.614,3.563,0.5691,21.16,0.5691
"54",1,2.678,1.828,3.429,0.5565,4805,0.5565
"55",1,2.965,2.796,2.569,0.481,2.326,0.481
"56",1,2.86,2.54,2.36,0.5255,72.14,0.5255
"57",1,2.747,1.299,2.621,0.2804,0.9923,0.2804
"58",1,2.679,1.468,2.517,0.3805,24.53,0.3805
"59",1,2.799,2.028,2.67,0.4074,0.3059,0.4074
"60",1,2.44,2.003,2.53,0.3337,7.033,0.3337
"61",1,2.713,2.484,2.523,0.4767,1.03,0.4767
"62",1,2.447,3.127,2.154,0.487,1.389,0.487
"63",1,2.338,5.856,1.656,0.356,4.648,0.356
"64",1,2.366,0.9076,1.627,0.527,4.733,0.527
"65",1,2.297,0.9072,2.14,0.4639,8.075,0.4639
"66",1,2.387,2.227,1.501,0.4123,5.921,0.4123
"67",1,2.708,1.051,4.237,0.4509,0.8539,0.4509
"68",1,2.471,1.809,1.527,0.6436,0.01251,0.6436
"69",1,2.355,1.879,1.606,0.3197,5.098,0.3197
"70",1,2.415,1.706,1.979,0.5083,2.004,0.5083
"71",1,2.434,1.257,1.886,0.4807,1.845,0.4807
"72",1,2.476,1.895,1.383,0.4349,0.4708,0.4349
"73",1,2.307,1.654,2.539,0.8825,3.047,0.8825
"74",1,2.351,1.185,2.851,0.4742,1.131,0.4742
"75",1,2.321,3.168,2.616,0.4663,0.9989,0.4663
"76",1,2.277,2.519,2.574,0.4905,0.6708,0.4905
"77",1,2.717,10.34,2.787,0.5218,3.619,0.5218
"78",1,2.56,16.94,2.795,0.5483,1.297,0.5483
"79",1,2.463,1.21,2.943,0.4121,1.342,0.4121
"80",1,2.16,7.336,2.867,0.381,1.525,0.381
"81",1,1.834,1.328,2.999,0.5074,1.302,0.5074
"82",1,2.222,3.45,2.815,0.4818,1.058,0.4818
"83",1,1.313,7.798,3.614,0.5661,2.505,0.5661
"84",1,2.015,0.2214,4.574,0.4597,12.72,0.4597
"85",1,2.348,0.09034,3.821,0.4518,0.8117,0.4518
"86",1,2.57,3.853,2.689,0.2864,11.05,0.2864
"87",1,1.98,0.5691,4.351,0.292,2.016,0.292
"88",1,1.544,0.4412,3.661,0.384,1.431,0.384
"89",1,2.08,0.4246,3.108,0.495,1.212,0.495
"90",1,0.6904,2.391,3.232,0.2454,4.972,0.2454
"91",1,4.981,0.9185,3.395,0.4801,34.12,0.4801
"92",1,7.193,1.072,3.282,0.3035,219,0.3035
"93",1,3.507,0.8635,3.15,0.3758,0.5853,0.3758
"94",1,1.626,0.8637,3.239,0.2012,4.173,0.2012
"95",1,2.549,2.333,2.805,0.3223,95.45,0.3223
"96",1,3.449,1.77,3.228,0.3383,0.8143,0.3383
"97",1,1.275,1.673,3.239,0.308,10.67,0.308
"98",1,0.9842,2.61,3.73,0.4927,2.541,0.4927
"99",1,1.156,0.587,2.808,0.7816,1.897,0.7816
"100",1,2.534,0.9143,2.871,0.6975,2.439,0.6975
"101",1,2.108,1.201,2.77,0.4684,3.486,0.4684
"102",1,1.967,1.26,2.959,0.467,3.053,0.467
"103",1,3.022,1.947,2.489,0.5193,5.009,0.5193
"104",1,2.516,2.368,3.276,0.2241,2.83,0.2241
"105",1,2.689,0.9048,2.621,0.5904,3.278,0.5904
"106",1,3.365,1.138,2.947,0.4454,3.001,0.4454
"107",1,2.458,1.988,3.171,0.4073,2.211,0.4073
"108",1,2.182,1.18,3.261,0.6641,2.388,0.6641
"109",1,2.644,1.511,2.098,0.4828,2.812,0.4828
"110",1,2.238,1.461,2.683,0.372,6.95,0.372
"111",1,3.056,1.403,2.829,0.4134,9.384,0.4134
"112",1,2.508,1.375,2.865,0.5542,2.77,0.5542
"113",1,3.057,1.602,2.931,0.5494,5.538,0.5494
"114",1,1.993,3.147,2.869,0.554,5.897,0.554
"115",1,3.162,1.87,2.233,0.4334,4.627,0.4334
"116",1,3.113,1.508,3.587,0.4261,2.083,0.4261
"117",1,1.673,1.333,2.989,0.6285,5.762,0.6285
"118",1,6.731,2.478,1.387,0.4194,1.543,0.4194
"119",1,2.519,1.392,4.573,0.5082,2.862,0.5082
"120",1,1.931,1.52,3.136,0.5162,0.6933,0.5162
"121",1,3.096,1.229,5.232,0.5405,2.978,0.5405
"122",1,2.695,1.586,1.112,0.5925,0.9948,0.5925
"123",1,1.997,1.363,3.372,0.4218,1.917,0.4218
"124",1,1.713,1.479,4.642,0.6057,2.485,0.6057
"125",1,1.196,0.3608,0.7799,0.6029,4.27,0.6029
"126",1,2.512,1.843,1.925,0.5743,65.08,0.5743
"127",1,1.915,1.403,5.843,0.4166,2.761,0.4166
"128",1,1.97,1.753,0.3705,0.3661,3.979,0.3661
"129",1,3.254,0.8184,1.274,0.4956,2.078,0.4956
"130",1,4.021,1.386,1.205,0.57,3.502,0.57
"131",1,4.312,1.194,0.8065,0.4188,4.21,0.4188
"132",1,2.919,3.536,2.437,0.4351,2.445,0.4351
"133",1,2.193,0.5235,1.568,0.3697,3.123,0.3697
"134",1,2.213,0.4175,1.291,0.3669,2.717,0.3669
"135",1,2.577,0.7541,5.067,0.4109,2.55,0.4109
"136",1,3.359,5.107,0.6174,0.718,2.703,0.718
"137",1,2.289,1.981,0.757,0.5486,2.716,0.5486
"138",1,3.356,0.5362,2.484,0.3641,2.63,0.3641
"139",1,3.803,3.961,2.101,0.469,2.242,0.469
"140",1,2.944,1.517,4.908,0.5298,4.127,0.5298
"141",1,2.933,1.555,0.04946,0.443,5.075,0.443
"142",1,3.191,0.696,1.097,0.5008,2.623,0.5008
"143",1,2.992,2.557,0.1764,0.4383,3.513,0.4383
"144",1,2.319,0.5802,0.009998,0.4621,3.025,0.4621
"145",1,2.557,6.715,0.03338,0.3394,1.641,0.3394
"146",1,2.358,0.6164,0.3805,0.4134,7.525,0.4134
"147",1,2.541,2.894,1.305,0.4206,3.876,0.4206
"148",1,2.718,2.243,0.7359,0.3795,2.295,0.3795
"149",1,2.789,1.66,0.1133,0.347,2.476,0.347
"150",1,2.887,1.74,0.2374,0.481,3.611,0.481
"151",1,2.872,1.214,1.063,0.4423,4.211,0.4423
"152",1,2.681,5.248,1.239,0.5374,2.348,0.5374
"153",1,2.05,0.4158,0.8846,0.5345,0.991,0.5345
"154",1,2.702,0.4987,2.169,0.3989,1.271,0.3989
"155",1,3.642,1.695,1.759,0.3161,72.34,0.3161
"156",1,2.405,1.813,2.068,0.4066,0.2347,0.4066
"157",1,2.339,1.395,3.199,0.3655,2.398,0.3655
"158",1,3.106,1.598,3.399,0.4968,2.947,0.4968
"159",1,3.171,1.46,2.018,0.5421,0.2956,0.5421
"160",1,2.761,1.224,1.655,0.6065,0.5412,0.6065
"161",1,3.388,1.501,1.735,0.3789,110.7,0.3789
"162",1,4.165,1.023,1.02,0.2295,0.4793,0.2295
"163",1,4.15,0.9042,4.813,0.345,0.05421,0.345
"164",1,4.042,0.8516,1.321,0.4153,6.508,0.4153
"165",1,4.05,1.161,1.76,0.3282,1.032,0.3282
"166",1,4.638,1.342,1.465,0.3204,0.9077,0.3204
"167",1,4.256,1.659,1.92,0.5248,10.84,0.5248
"168",1,4.478,1.232,1.242,0.39,3.692,0.39
"169",1,4.392,0.8753,1.134,0.7864,1.803,0.7864
"170",1,4.273,0.702,0.8747,0.4265,4.038,0.4265
"171",1,4.073,1.331,1.843,0.6032,1.551,0.6032
"172",1,3.757,1.964,0.8297,0.275,39.54,0.275
"173",1,3.564,0.7459,1.277,0.47,67.62,0.47
"174",1,3.992,2.212,0.4323,0.7085,196.4,0.7085
"175",1,4.594,1.211,0.3033,0.4284,6.617,0.4284
"176",1,3.502,1.627,0.7435,0.3778,120.3,0.3778
"177",1,3.083,1.182,0.5373,0.421,1.863,0.421
"178",1,3.627,1.524,1.574,0.4181,0.7922,0.4181
"179",1,2.893,1.026,0.09174,0.511,4.074,0.511
"180",1,3.208,0.5419,0.2669,0.4493,0.4241,0.4493
"181",1,4.33,1.85,0.1444,0.2928,4.857,0.2928
"182",1,4.375,1.235,0.5124,0.3668,34.81,0.3668
"183",1,4.197,2.422,0.6634,0.4206,1.297,0.4206
"184",1,3.02,0.9627,0.3305,0.2019,15.36,0.2019
"185",1,3.226,0.7943,0.8871,0.4884,0.01256,0.4884
"186",1,3.153,1.768,0.1108,0.4864,1.481,0.4864
"187",1,3.451,1.241,0.04019,0.4605,0.7117,0.4605
"188",1,3.484,1.526,3.192,0.7524,4.219,0.7524
"189",1,2.984,0.5786,0.2936,0.8549,3.06,0.8549
"190",1,3.529,1.326,0.2007,0.6734,2.517,0.6734
"191",1,3.854,0.8862,0.8462,0.3032,1.582,0.3032
"192",1,3.691,0.9692,0.0579,0.7929,0.3327,0.7929
"193",1,3.521,1.126,2.318,0.6062,0.7897,0.6062
"194",1,3.6,1.069,0.5404,0.6478,5.181,0.6478
"195",1,3.439,1.054,0.9618,0.6738,6.302,0.6738
"196",1,3.165,1.024,0.6561,0.6325,40.41,0.6325
"197",1,4.361,0.9096,0.6061,0.4752,0.1422,0.4752
"198",1,4.197,1.373,0.7765,0.4803,0.78,0.4803
"199",1,3.354,1.539,0.645,0.2861,3.275,0.2861
"200",1,4.609,1.707,0.8217,0.4396,5.728,0.4396
"201",1,4.786,4.06,0.7223,0.5847,2.79,0.5847
"202",1,4.826,1.515,0.9192,0.8063,0.1499,0.8063
"203",1,3.423,0.4804,0.8609,0.5837,0.07762,0.5837
"204",1,3.976,0.6538,1.396,0.7097,3.753,0.7097
"205",1,3.651,3.315,1.31,0.4302,0.3145,0.4302
"206",1,3.421,5.566,1.225,0.5153,0.9357,0.5153
"207",1,3.793,0.3092,1.187,0.4603,0.3011,0.4603
"208",1,3.507,1.448,0.5861,0.506,0.5473,0.506
"209",1,3.901,1.952,1.677,0.6271,0.415,0.6271
"210",1,3.49,1.527,0.2666,0.712,0.1646,0.712
"211",1,3.107,1.816,1.244,0.5321,10.09,0.5321
"212",1,4.753,0.9004,0.2725,0.5224,0.2653,0.5224
"213",1,4.134,1.49,1.915,0.4383,0.3473,0.4383
"214",1,3.974,1.528,0.02266,0.6111,0.2398,0.6111
"215",1,3.318,1.33,0.007204,0.4172,0.3391,0.4172
"216",1,3.795,1.52,0.05441,0.4304,0.3351,0.4304
"217",1,3.074,1.484,0.2378,0.6013,3.524,0.6013
"218",1,2.841,1.454,0.2738,0.3536,0.0994,0.3536
"219",1,3.173,1.581,1.409,0.459,0.2602,0.459
"220",1,3.593,1.689,0.8695,0.4336,0.4371,0.4336
"221",1,3.696,1.898,0.7025,0.2201,0.631,0.2201
"222",1,4.372,1.667,0.3439,0.07746,0.6077,0.07746
"223",1,3.872,1.59,0.7879,0.661,0.005923,0.661
"224",1,3.885,1.681,0.7122,0.2879,72.47,0.2879
"225",1,3.691,1.649,1.286,0.3373,3.812,0.3373
"226",1,2.449,1.511,0.8659,0.6197,0.1271,0.6197
"227",1,3.139,1.489,0.6126,0.3943,7.986,0.3943
"228",1,3.848,1.377,0.07148,0.5333,1.173,0.5333
"229",1,5.62,1.368,0.6932,0.4865,0.1576,0.4865
"230",1,2.857,1.681,3.97,0.4299,0.9616,0.4299
"231",1,3.099,1.609,3.84,0.5016,0.8699,0.5016
"232",1,3.639,1.55,1.665,0.4566,0.7484,0.4566
"233",1,3.034,1.502,1.161,0.4245,1.295,0.4245
"234",1,4.627,1.525,1.168,0.3923,0.3716,0.3923
"235",1,3.447,1.42,0.7445,0.3822,0.1085,0.3822
"236",1,4.021,1.418,0.51,0.5541,0.2285,0.5541
"237",1,4.869,1.457,0.2067,0.5337,0.5448,0.5337
"238",1,4.243,1.382,0.2937,0.5001,2.066,0.5001
"239",1,3.217,1.412,0.453,0.3997,2.889,0.3997
"240",1,4.21,1.465,0.3794,0.5685,0.08468,0.5685
"241",1,2.949,1.531,0.5521,0.4807,0.04903,0.4807
"242",1,3.523,1.511,0.5332,0.8103,21.95,0.8103
"243",1,4.009,1.501,1.27,0.5741,1.322,0.5741
"244",1,3.285,1.543,0.6355,0.5365,0.6158,0.5365
"245",1,3.26,1.511,1.047,0.6028,8.716,0.6028
"246",1,2.835,1.479,1.22,0.6038,3.15,0.6038
"247",1,2.18,1.425,0.4057,0.5719,0.8584,0.5719
"248",1,3.867,1.475,0.5122,0.6274,26.35,0.6274
"249",1,2.136,1.45,1.217,0.6062,3.847,0.6062
"250",1,2.213,1.536,1.178,0.5854,31.55,0.5854
"251",1,2.307,1.468,0.2001,0.5179,15.54,0.5179
"252",1,2.525,1.487,0.4559,0.5315,4.497,0.5315
"253",1,2.467,1.524,0.1388,0.4561,13.97,0.4561
"254",1,2.713,1.541,1.209,0.5774,7.817,0.5774
"255",1,2.834,1.463,2.619,0.5595,1.63,0.5595
"256",1,2.357,1.477,4.074,0.4954,1.257,0.4954
"257",1,2.215,1.509,1.132,0.5054,0.335,0.5054
"258",1,2.49,1.506,2.637,0.4246,0.1876,0.4246
"259",1,1.806,1.493,2.104,0.4669,0.1573,0.4669
"260",1,2.72,1.525,2.33,0.3432,0.997,0.3432
"261",1,2.524,1.378,4.312,0.5889,3.342,0.5889
"262",1,2.231,1.385,1.146,0.521,0.8275,0.521
"263",1,2.318,1.402,1.785,0.7796,0.2468,0.7796
"264",1,2.523,1.454,2.146,0.536,27.9,0.536
"265",1,1.743,1.446,1.352,0.4628,29.8,0.4628
"266",1,2.158,1.424,0.4718,0.4985,0.81,0.4985
"267",1,2.057,1.422,1.019,0.5821,0.3818,0.5821
"268",1,2.701,1.421,0.9234,0.5505,5.282,0.5505
"269",1,2.74,1.427,0.7719,0.4765,0.6939,0.4765
"270",1,1.494,1.436,1.665,0.6158,2.595,0.6158
"271",1,2.505,1.402,2.362,0.403,0.3116,0.403
"272",1,1.782,1.434,0.7524,0.7034,2.036,0.7034
"273",1,2.761,1.398,0.1667,0.1987,2.491,0.1987
"274",1,4.419,1.476,0.111,0.7352,0.3644,0.7352
"275",1,2.47,1.489,0.1747,0.4317,0.2077,0.4317
"276",1,1.63,1.463,2.649,0.04082,4.093,0.04082
"277",1,2.01,1.424,2.614,0.3972,1.509,0.3972
"278",1,2.802,1.414,4.091,0.3976,2.142,0.3976
"279",1,2.871,1.421,0.9803,0.6025,1.039,0.6025
"280",1,3.824,1.418,4.636,0.2987,0.8341,0.2987
"281",1,3.539,1.414,1.915,0.2675,1.235,0.2675
"282",1,3.451,1.427,4.758,0.3464,1.403,0.3464
"283",1,2.916,1.409,2.759,0.2703,1.197,0.2703
"284",1,3.16,1.407,4.792,0.4886,0.5027,0.4886
"285",1,2.505,1.425,3.019,0.353,0.4389,0.353
"286",1,3.438,1.419,3.294,0.3015,0.1587,0.3015
"287",1,3.316,1.421,3.864,0.5103,8.784,0.5103
"288",1,3.001,1.415,3.113,0.3643,1.386,0.3643
"289",1,2.977,1.421,3.955,0.2836,0.8665,0.2836
"290",1,3.405,1.417,2.495,0.2955,1.396,0.2955
"291",1,3.409,1.421,3.827,0.6451,1.4,0.6451
"292",1,2.92,1.421,3.652,0.6459,2.318,0.6459
"293",1,4.875,1.417,2.818,0.5466,1.232,0.5466
"294",1,2.477,1.43,3.212,0.3746,47.47,0.3746
"295",1,3.124,1.434,2.166,0.4234,1.243,0.4234
"296",1,2.933,1.422,2.784,0.3832,0.8324,0.3832
"297",1,2.532,1.427,2.416,0.2945,1.078,0.2945
"298",1,2.175,1.427,2.623,0.3759,1.243,0.3759
"299",1,2.063,1.428,3.085,0.5244,0.3639,0.5244
"300",1,2.838,1.425,4.288,0.5636,1.147,0.5636
"301",1,2.002,1.422,4.039,0.3956,0.6699,0.3956
"302",1,2.353,1.429,4.735,0.3696,0.2092,0.3696
"303",1,3.166,1.392,2.474,0.3416,0.2979,0.3416
"304",1,3.435,1.407,3.335,0.5096,2.695,0.5096
"305",1,3.119,1.473,3.744,0.5643,0.5088,0.5643
"306",1,2.799,1.452,3.729,0.5008,0.7299,0.5008
"307",1,2.596,1.454,3.556,0.5248,0.6629,0.5248
"308",1,2.963,1.454,3.307,0.5169,0.8557,0.5169
"309",1,3.336,1.436,1.013,0.2977,0.4914,0.2977
"310",1,4.342,1.455,1.181,0.3834,0.5777,0.3834
"311",1,3.466,1.428,1.127,0.3339,0.7959,0.3339
"312",1,4.866,1.444,1.593,0.3038,0.768,0.3038
"313",1,4.192,1.426,1.72,0.5731,4.362,0.5731
"314",1,4.235,1.432,1.719,0.4042,6.748,0.4042
"315",1,4.082,1.431,2.481,0.5193,0.7725,0.5193
"316",1,3.515,1.425,0.782,0.6172,2.382,0.6172
"317",1,3.502,1.434,12.23,1.005,2.601,1.005
"318",1,2.78,1.433,0.8193,0.6107,0.2134,0.6107
"319",1,3.069,1.434,0.3172,0.2106,0.02806,0.2106
"320",1,2.891,1.431,0.5164,0.3918,0.09155,0.3918
"321",1,2.99,1.433,0.3104,0.3702,2.054,0.3702
"322",1,2.932,1.442,0.8383,0.3858,4.072,0.3858
"323",1,2.823,1.442,0.4013,0.3637,0.005864,0.3637
"324",1,2.779,1.428,0.9947,0.4332,3.616,0.4332
"325",1,2.8,1.435,0.9807,0.3892,0.2127,0.3892
"326",1,2.746,1.434,1.646,0.5071,2.718,0.5071
"327",1,2.738,1.437,2.886,0.2816,1.865,0.2816
"328",1,2.592,1.437,0.6761,0.3038,2.392,0.3038
"329",1,2.801,1.437,1.027,0.5208,11.56,0.5208
"330",1,2.565,1.437,1.738,0.5236,1.398,0.5236
"331",1,2.526,1.433,1.239,0.4871,0.3853,0.4871
"332",1,3.031,1.433,1.851,0.4003,0.4247,0.4003
"333",1,2.818,1.434,2.851,0.4766,0.7977,0.4766
"334",1,3.534,1.433,0.4453,0.4787,0.6079,0.4787
"335",1,4.733,1.429,0.7138,0.4855,17.21,0.4855
"336",1,3.064,1.437,0.8794,0.3944,17.2,0.3944
"337",1,2.923,1.432,0.3118,0.4044,0.8255,0.4044
"338",1,2.633,1.44,0.2668,0.4317,1.134,0.4317
"339",1,3.14,1.443,14.37,0.4602,0.712,0.4602
"340",1,2.953,1.441,0.06054,0.4498,1.956,0.4498
"341",1,2.977,1.463,0.2451,0.393,3.989,0.393
"342",1,3.132,1.455,3.659,0.4122,1.25,0.4122
"343",1,3.334,1.453,0.2909,0.4543,2.316,0.4543
"344",1,2.982,1.466,13.47,0.4807,1.597,0.4807
"345",1,2.896,1.434,1.38,0.4739,1.29,0.4739
"346",1,2.788,1.428,0.7102,0.5194,1.328,0.5194
"347",1,2.629,1.445,2.636,0.6017,1.443,0.6017
"348",1,2.622,1.442,0.1978,0.6531,1.822,0.6531
"349",1,3.542,1.441,0.384,0.5845,1.868,0.5845
"350",1,2.684,1.445,0.173,0.5397,1.733,0.5397
"351",1,2.415,1.443,0.8633,0.7615,3.044,0.7615
"352",1,2.216,1.449,0.144,0.5641,3.564,0.5641
"353",1,3.067,1.443,0.2027,0.5136,3.691,0.5136
"354",1,2.858,1.454,0.281,0.4657,2.354,0.4657
"355",1,3.399,1.43,0.5262,0.4671,3.627,0.4671
"356",1,3.394,1.436,1.792,0.5524,4.952,0.5524
"357",1,3.437,1.444,0.435,0.5819,3.683,0.5819
"358",1,3.279,1.472,0.23,0.5048,3.509,0.5048
"359",1,3.467,1.45,0.09814,0.4983,7.621,0.4983
"360",1,3.202,1.383,0.2046,0.5052,5.557,0.5052
"361",1,3.163,1.399,0.1296,0.527,5.912,0.527
"362",1,3.125,1.389,1.241,0.5387,5.371,0.5387
"363",1,2.872,1.432,0.8287,0.5385,5.421,0.5385
"364",1,3.163,1.399,2.205,0.4365,5.946,0.4365
"365",1,2.995,1.393,0.03356,0.4449,6.124,0.4449
"366",1,2.968,1.429,0.001982,0.3705,5.506,0.3705
"367",1,2.924,1.358,15.19,0.3594,5.871,0.3594
"368",1,3.099,1.389,0.1079,0.2358,5.526,0.2358
"369",1,3.138,1.394,0.1709,0.291,5.342,0.291
"370",1,3.398,1.436,0.001511,0.3377,6.988,0.3377
"371",1,3.03,1.355,0.4145,0.5174,2.891,0.5174
"372",1,2.984,1.46,21.12,0.6516,3.187,0.6516
"373",1,2.793,1.432,18.78,0.3052,3.808,0.3052
"374",1,3.117,1.447,0.6114,0.3182,3.311,0.3182
"375",1,2.714,1.536,1.115,0.349,1.619,0.349
"376",1,3.349,1.422,0.5002,0.387,1.364,0.387
"377",1,3.077,1.438,0.4642,0.1934,2.461,0.1934
"378",1,3.201,1.562,0.02771,0.2961,2.588,0.2961
"379",1,3.15,1.589,0.0251,0.4159,3.583,0.4159
"380",1,3.113,1.522,0.5483,0.4418,0.7589,0.4418
"381",1,3.505,1.995,0.06559,0.5527,0.1662,0.5527
"382",1,3.43,1.859,0.914,0.4079,0.8673,0.4079
"383",1,3.516,1.695,1.894,0.4093,0.7453,0.4093
"384",1,3.416,1.482,6.849,0.5104,1.96,0.5104
"385",1,3.137,1.412,0.5776,0.5326,2.189,0.5326
"386",1,3.494,1.394,0.4208,0.443,1.513,0.443
"387",1,3.26,1.881,0.3512,0.2821,0.9423,0.2821
"388",1,2.872,1.477,0.2282,0.4174,1.032,0.4174
"389",1,2.936,1.522,0.1002,0.5033,1.125,0.5033
"390",1,3.641,1.417,0.3,0.4757,1.321,0.4757
"391",1,2.795,1.049,0.1576,0.5237,1.271,0.5237
"392",1,2.36,1.357,0.1317,0.4799,1.259,0.4799
"393",1,2.735,0.9794,0.1859,0.3922,1.321,0.3922
"394",1,3.112,2.199,4.214,0.5408,1.323,0.5408
"395",1,3.233,1.305,0.8116,0.4959,1.503,0.4959
"396",1,1.834,1.625,1.962,0.4196,1.372,0.4196
"397",1,1.78,2.233,5.187,0.4154,1.498,0.4154
"398",1,1.131,2.058,0.9358,0.4183,1.439,0.4183
"399",1,3.936,1.415,0.03235,0.462,1.398,0.462
"400",1,2.809,1.654,1.496,0.5201,1.36,0.5201
"401",1,2.81,2.721,1.826,0.4026,1.446,0.4026
"402",1,1.126,0.9793,2.287,0.4301,1.447,0.4301
"403",1,1.64,0.4885,0.7802,0.5385,1.386,0.5385
"404",1,1.933,0.3993,4.026,0.651,1.426,0.651
"405",1,1.784,2.179,0.6784,0.576,1.366,0.576
"406",1,1.513,6.53,0.6215,0.3469,1.416,0.3469
"407",1,2.777,0.5865,1.22,0.6617,1.43,0.6617
"408",1,3.435,1.119,0.2499,0.5221,1.412,0.5221
"409",1,4.272,0.6355,0.8694,0.4605,1.396,0.4605
"410",1,1.984,1.187,0.1857,0.5057,1.45,0.5057
"411",1,5.574,1.483,2.032,0.2926,1.547,0.2926
"412",1,4.291,1.41,0.004196,0.4448,1.346,0.4448
"413",1,2.964,1.461,0.07882,0.1765,1.446,0.1765
"414",1,2.928,1.438,0.7487,1.152,1.428,1.152
"415",1,1.458,1.456,0.1955,0.582,1.546,0.582
"416",1,1.413,1.737,0.183,0.3888,1.357,0.3888
"417",1,4.593,1.551,0.2536,0.5168,1.448,0.5168
"418",1,3.873,1.656,0.05269,0.5723,1.513,0.5723
"419",1,0.7825,1.647,0.1211,0.34,1.404,0.34
"420",1,4.497,1.584,0.8966,0.5436,1.456,0.5436
"421",1,6.688,1.641,0.1843,0.3955,1.412,0.3955
"422",1,2.765,1.647,0.03925,0.3422,1.465,0.3422
"423",1,3.41,1.617,0.1286,0.3729,1.576,0.3729
"424",1,4.876,1.628,30.88,0.3858,1.343,0.3858
"425",1,2.598,1.647,0.3752,0.4421,1.437,0.4421
"426",1,3.549,1.597,0.2719,0.3958,1.47,0.3958
"427",1,2.874,1.789,1.166,0.2352,1.432,0.2352
"428",1,3.113,1.632,0.6863,0.2352,1.304,0.2352
"429",1,3.345,1.568,0.7612,0.605,1.073,0.605
"430",1,3.991,1.768,1.066,0.7513,2.812,0.7513
"431",1,2.312,1.814,1.621,0.5615,0.8647,0.5615
"432",1,3.591,1.369,1.242,0.3159,1.514,0.3159
"433",1,3.522,1.48,1.322,0.3358,8.099,0.3358
"434",1,3.282,1.986,1.358,0.3963,12.54,0.3963
"435",1,3.653,1.485,0.8078,0.4528,5.425,0.4528
"436",1,4.42,1.357,1.781,0.4422,4.896,0.4422
"437",1,1.686,1.866,0.3694,0.4204,2.793,0.4204
"438",1,1.848,1.992,0.5747,0.442,3.982,0.442
"439",1,3.815,1.393,0.3877,0.4163,3.682,0.4163
"440",1,3.504,0.9254,1.803,0.404,3.494,0.404
"441",1,4.173,1.401,0.8994,0.348,3.605,0.348
"442",1,3.688,0.6251,2.362,0.4235,4.06,0.4235
