"","MI","Ischemic stroke","Death (all causes)","Transient ischemic attack (TIA)","Clinically relevant bleeding","SE","ICH"
"1865",1,2.867,1.631,0.7683,0.3435,7.023,0.3435
"1866",1,2.866,1.647,1.135,0.3426,6.551,0.3426
"1867",1,2.867,1.781,1.379,0.3562,5.554,0.3562
"1868",1,2.872,1.478,2.789,0.2963,3.927,0.2963
"1869",1,2.869,1.515,2.682,0.3798,4.179,0.3798
"1870",1,2.869,1.594,3.675,0.2942,3.977,0.2942
"1871",1,2.864,1.547,4.602,0.4018,3.974,0.4018
"1872",1,2.861,1.411,2.722,0.437,4.701,0.437
"1873",1,2.866,1.61,1.509,0.4112,5.127,0.4112
"1874",1,2.868,1.647,1.313,0.3316,4.831,0.3316
"1875",1,2.862,1.549,1.102,0.3792,5.044,0.3792
"1876",1,2.865,1.571,1.695,0.4036,4.78,0.4036
"1877",1,2.867,1.562,1.534,0.6186,4.788,0.6186
"1878",1,2.866,1.549,1.718,0.343,5.016,0.343
"1879",1,2.863,1.554,2.068,0.197,5.274,0.197
"1880",1,2.866,1.551,2.203,0.3143,5.117,0.3143
"1881",1,2.865,1.591,1.629,0.4895,5.106,0.4895
"1882",1,2.864,1.57,2.352,0.1832,5.074,0.1832
"1883",1,2.866,1.567,3.872,0.5043,5.101,0.5043
"1884",1,2.868,1.564,3.311,0.1832,5.064,0.1832
"1885",1,2.868,1.551,3.578,0.4203,5.085,0.4203
"1886",1,2.873,1.599,4.471,0.3628,5.088,0.3628
"1887",1,2.867,1.57,2.426,0.4066,5.083,0.4066
"1888",1,2.867,1.573,1.978,0.3729,5.077,0.3729
"1889",1,2.87,1.558,1.365,0.3998,4.957,0.3998
"1890",1,2.862,1.553,1.232,0.2702,5.038,0.2702
"1891",1,2.865,1.536,2.727,0.5832,5.062,0.5832
"1892",1,2.862,1.574,5.731,0.4146,4.644,0.4146
"1893",1,2.864,1.583,2.809,0.4266,4.726,0.4266
"1894",1,2.869,1.585,26.16,0.4667,5.123,0.4667
"1895",1,2.868,1.566,1.435,0.2822,4.947,0.2822
"1896",1,2.868,1.578,1.805,0.2005,4.481,0.2005
"1897",1,2.863,1.57,2.908,0.3007,3.856,0.3007
"1898",1,2.861,1.575,3.479,0.2909,2.787,0.2909
"1899",1,2.865,1.593,7.445,0.38,6.379,0.38
"1900",1,2.866,1.584,2.296,0.3379,6.288,0.3379
"1901",1,2.866,1.572,0.7298,0.3251,3.336,0.3251
"1902",1,2.866,1.578,1.228,0.3416,5.293,0.3416
"1903",1,2.871,1.585,1.238,0.3842,3.167,0.3842
"1904",1,2.866,1.559,1.253,0.2554,0.4756,0.2554
"1905",1,2.867,1.594,0.7218,0.3995,0.8913,0.3995
"1906",1,2.864,1.596,1.47,0.419,40.26,0.419
"1907",1,2.868,1.562,1.66,0.3055,1.617,0.3055
"1908",1,2.866,1.484,1.651,0.5987,13.06,0.5987
"1909",1,2.862,1.543,0.806,0.5253,4.943,0.5253
"1910",1,2.873,1.536,0.5604,0.5392,3.703,0.5392
"1911",1,2.868,1.574,1.286,0.5348,182.9,0.5348
"1912",1,2.862,1.59,3.836,0.3641,0.1634,0.3641
"1913",1,2.863,1.363,1.857,0.4194,0.6525,0.4194
"1914",1,2.867,1.338,2.419,0.4265,0.2737,0.4265
"1915",1,2.861,1.537,1.651,0.3144,1.911,0.3144
"1916",1,2.865,1.535,2.09,0.3384,0.07105,0.3384
"1917",1,2.869,1.481,1.79,0.4324,7.566,0.4324
"1918",1,2.865,1.53,0.9244,0.3845,15.45,0.3845
"1919",1,2.867,1.553,0.7714,0.6006,16.01,0.6006
"1920",1,2.863,1.631,0.5621,0.181,1.802,0.181
"1921",1,2.866,1.694,0.6277,0.4047,3.237,0.4047
"1922",1,2.864,1.372,0.4032,0.2154,2.223,0.2154
"1923",1,2.867,1.508,0.5376,0.2516,0.1079,0.2516
"1924",1,2.865,1.409,0.72,0.5778,4.154,0.5778
"1925",1,2.863,1.626,1.289,0.3535,0.7651,0.3535
"1926",1,2.859,1.608,0.1331,0.7017,0.107,0.7017
"1927",1,2.858,1.107,0.06244,0.3731,7.01,0.3731
