"","mu.mean.5.","mu.mean.1.","mu.mean.6.","mu.mean.7.","mu.mean.17.","mu.mean.15.","mu.mean.16."
"72",-4.9991,-4.5559,-3.3309,-2.736,-3.6939,-5.0478,-5.7852
"73",-5.0009,-4.5589,-3.6152,-1.786,-3.7039,-5.0398,-5.5402
"74",-4.8485,-4.46147,-3.3832,-2.351,-3.8829,-4.6598,-5.7392
"75",-4.8165,-4.44748,-3.5912,-4.68127,-2.9419,-4.9268,-5.7472
"76",-4.8895,-4.40277,-3.4702,-3.06427,-3.6465,-4.8808,-5.1722
"77",-5.1435,-4.39977,-3.5192,-5.31027,-3.4681,-4.3728,-5.3662
"78",-5.1425,-4.5222,-3.6142,-4.1884,-2.6431,-4.0428,-5.5583
"79",-5.2785,-4.5232,-3.53267,-5.5824,-2.5301,-4.6958,-5.7285
"80",-5.2463,-4.6732,-3.28771,-7.428,-3.2344,-5.2343,-5.4969
"81",-5.4083,-4.6781,-2.97771,-4.5824,-2.8414,-4.2433,-5.5154
"82",-5.2523,-4.6761,-3.23704,-4.6024,-2.5844,-4.2245,-5.6217
"83",-5.1933,-4.6811,-3.17904,-4.4924,-3.0374,-4.1594,-5.6937
"84",-4.86491,-4.6781,-3.39804,-6.321,-2.5552,-3.5764,-5.8887
"85",-4.95591,-4.6791,-3.86004,-3.9953,-2.7602,-4.8154,-5.8317
"86",-5.15191,-4.7081,-3.85004,-4.2203,-2.1612,-3.8354,-5.2678
"87",-5.03791,-4.7101,-3.46504,-5.83,-2.5862,-4.8312,-5.7388
"88",-5.18891,-4.5783,-3.7024,-5.665,-3.9599,-4.6222,-5.7946
"89",-4.86291,-4.5769,-3.6114,-5.512,-3.4039,-4.9512,-5.7073
"90",-4.86791,-4.43356,-3.5894,-4.11015,-3.3109,-5.2872,-5.6823
"91",-5.2134,-4.42756,-3.5504,-4.30415,-3.0835,-4.2402,-5.4587
"92",-5.0774,-4.43956,-3.6447,-4.68115,-2.9895,-4.4512,-5.7107
"93",-5.1254,-4.35775,-3.5677,-4.56115,-3.8825,-4.7832,-5.4077
"94",-5.0594,-4.35875,-3.8047,-4.11315,-2.9595,-4.1522,-5.5497
"95",-5.0814,-4.35875,-3.4687,-4.2313,-3.2135,-4.7456,-5.4417
"96",-5.0992,-4.35975,-3.48225,-4.7363,-2.1955,-4.8908,-5.1907
"97",-5.1281,-4.35775,-3.63925,-4.8493,-2.5611,-4.2129,-4.6027
"98",-4.8189,-4.46844,-3.506,-4.4733,-2.9081,-3.656,-5.8127
"99",-5.0279,-4.46744,-3.682,-4.7703,-3.6995,-3.739,-5.9798
"100",-4.9589,-4.46544,-3.288,-4.6003,-3.0735,-4.086,-5.5796
"101",-4.8409,-4.46344,-3.444,-4.1193,-3.0905,-3.297,-5.7286
"102",-4.9499,-4.5219,-3.212,-1.8996,-3.2155,-4.142,-5.6116
"103",-4.9499,-4.5209,-3.439,-2.2566,-3.4885,-3.554,-5.836
"104",-4.8789,-4.5279,-3.192,-2.9926,-2.9365,-4.164,-5.4168
"105",-4.9599,-4.5199,-3.3866,-3.2226,-3.6185,-4.165,-5.4938
"106",-5.0299,-4.5229,-3.5936,-3.0916,-3.2903,-3.561,-5.2758
"107",-5.0599,-4.5239,-3.7186,-2.3056,-3.1773,-4.001,-5.976
"108",-4.9529,-4.5229,-3.6816,-3.3976,-3.5635,-5.03,-5.883
"109",-4.9994,-4.5239,-3.5931,-3.4396,-2.8864,-4.954,-5.886
"110",-4.9894,-4.5758,-3.7611,-4.2388,-3.0905,-4.508,-5.63
"111",-5.0664,-4.5728,-3.4311,-5.4078,-3.0385,-4.192,-5.2044
"112",-4.93861,-4.5778,-3.4341,-4.0288,-2.8535,-4.178,-5.4584
"113",-4.83061,-4.5708,-3.5411,-5.44,-2.8205,-4.928,-4.8704
"114",-4.89561,-4.5758,-3.4841,-4.926,-2.3705,-4.5944,-5.36
"115",-4.91417,-4.5748,-3.5021,-4.972,-3.1022,-4.5124,-5.2098
"116",-4.95417,-4.5788,-3.4561,-4.706,-3.1552,-4.7254,-5.5038
"117",-4.97917,-4.5768,-3.8581,-4.694,-2.7462,-3.4314,-5.6788
"118",-4.98217,-4.5898,-3.3683,-4.561,-2.5122,-4.4644,-5.9218
"119",-4.97117,-4.5413,-3.868,-5.306,-3.2112,-5.0609,-5.5628
"120",-4.95417,-4.5393,-3.712,-4.193,-2.8582,-4.6857,-5.6817
"121",-4.99817,-4.34408,-3.542,-5.397,-3.2192,-4.6607,-5.4451
"122",-4.9279,-4.34408,-3.557,-5.125,-2.7742,-5.0217,-5.8211
"123",-4.9188,-4.5382,-3.816,-3.8913,-2.7662,-5.5547,-5.7355
"124",-5.1011,-4.47135,-3.505,-4.3953,-3.3592,-5.1992,-6.0955
"125",-5.1656,-4.43102,-4.146,-4.6333,-2.1655,-5.4097,-5.3627
"126",-5.1336,-4.43302,-3.729,-3.8143,-2.9585,-5.5276,-5.2327
"127",-4.97012,-4.43202,-3.398,-5.0043,-3.0095,-5.1196,-6.1327
"128",-4.955,-4.43202,-3.493,-5.283,-2.4955,-4.9326,-5.5567
"129",-5.147,-4.5846,-3.6666,-5.286,-3.3096,-4.6313,-5.3157
"130",-5.09,-4.5806,-3.5636,-6.194,-3.1496,-4.4823,-4.7977
"131",-5.116,-4.5786,-3.4306,-5.195,-2.3296,-4.5045,-5.8813
"132",-5.176,-4.4553,-3.5253,-7.174,-3.2036,-5.7721,-5.8656
"133",-4.8974,-4.5465,-3.5053,-3.34124,-3.1386,-5.3541,-5.9976
"134",-5.139,-4.5515,-3.4373,-4.12424,-3.8596,-5.0861,-5.6744
"135",-5.208,-4.5465,-3.6283,-3.79124,-4.0336,-4.6171,-5.7074
"136",-5.003,-4.5455,-3.5179,-2.94524,-2.9756,-5.3871,-5.8894
"137",-5.044,-4.5495,-3.4469,-3.73424,-3.4076,-4.8322,-5.5315
"138",-5.154,-4.51066,-3.2749,-4.77724,-3.4056,-4.6942,-5.5805
"139",-5.223,-4.51066,-3.4129,-5.27924,-2.8036,-4.6582,-5.6515
"140",-5.0166,-4.50766,-3.4009,-3.95124,-2.7189,-4.7872,-5.8875
"141",-4.9576,-4.50666,-3.4049,-3.42324,-2.8219,-4.7681,-5.6936
"142",-4.9256,-4.419775,-3.50336,-5.16824,-2.6689,-5.5791,-5.5296
"143",-5.0016,-4.419775,-3.45136,-5.1362,-2.8599,-4.821,-5.6406
